	Parasite_sp1	Parasite_sp2	Parasite_sp3	Parasite_sp4	Parasite_sp5	Parasite_sp6	Parasite_sp7	Parasite_sp8	Parasite_sp9
Host_sp1	1	0	0	0	0	0	0	0	0
Host_sp2	0	0	0	0	1	0	1	0	0
Host_sp3	1	0	0	0	0	1	0	0	0
Host_sp4	0	0	1	0	0	0	0	1	0
Host_sp5	0	0	0	0	0	0	0	1	0
Host_sp6	1	0	0	0	0	0	0	0	0
Host_sp7	1	0	0	0	0	0	0	0	0
Host_sp8	0	0	0	0	0	0	1	0	0
Host_sp9	0	0	0	0	0	0	1	0	0
Host_sp10	1	0	1	0	0	0	0	0	0
Host_sp11	0	0	0	0	0	0	0	0	1
Host_sp12	0	0	0	1	0	0	0	0	0
Host_sp13	0	0	0	0	0	0	1	0	0
Host_sp14	0	0	0	1	0	0	0	0	0
Host_sp15	1	0	0	0	0	0	0	0	0
Host_sp16	0	0	0	0	0	0	1	0	0
Host_sp17	0	0	1	0	0	0	0	0	0
Host_sp18	0	0	1	0	0	0	0	0	0
Host_sp19	0	0	1	0	0	0	0	0	0
Host_sp20	0	0	1	0	0	0	0	0	0
Host_sp21	0	0	1	0	0	0	0	0	0
Host_sp22	1	0	1	0	0	0	0	0	0
Host_sp23	0	1	1	0	0	0	0	0	0
Host_sp24	0	0	1	0	0	0	0	0	0
Host_sp25	0	0	0	1	0	0	0	0	0
Host_sp26	1	0	0	0	0	0	0	0	1
Host_sp27	0	0	0	0	0	0	0	0	1
Host_sp28	0	0	0	0	0	0	0	0	1
Host_sp29	0	0	0	0	0	0	0	0	1
Host_sp30	0	0	0	0	0	0	0	1	0
Host_sp31	0	0	0	0	0	0	0	1	0
Host_sp32	0	0	0	0	0	0	0	1	0
Host_sp33	1	0	0	0	0	0	0	0	0
Host_sp34	0	0	0	1	0	0	0	0	0
Host_sp35	1	0	0	0	0	1	0	0	0
